match_id,game_version,queue_id,game_duration,game_mode,team1_win,team1_ban_1,team1_ban_2,team1_ban_3,team1_ban_4,team1_ban_5,team2_win,team2_ban_1,team2_ban_2,team2_ban_3,team2_ban_4,team2_ban_5,team1_top,team1_jungle,team1_mid,team1_adc,team1_support,team2_top,team2_jungle,team2_mid,team2_adc,team2_support,target,has_complete_positions
EUW1_7624721920,15.23.728.3286,420,1643,CLASSIC,0,555,246,55,-1,37,1,904,238,800,21,114,99,234,134,202,432,83,76,163,42,80,0,True
EUW1_7624729834,15.23.728.3286,420,1842,CLASSIC,0,27,555,35,904,432,1,78,893,-1,84,-1,516,266,13,29,43,106,246,55,18,111,0,True
EUW1_7624734560,15.23.728.3286,420,1725,CLASSIC,0,238,126,555,119,246,1,904,799,91,126,246,92,200,800,202,432,27,266,134,222,60,0,True
EUW1_7624734848,15.23.728.3286,420,1882,CLASSIC,0,107,42,800,36,68,1,166,28,7,-1,897,41,246,4,18,111,904,421,518,145,526,0,True
EUW1_7624740869,15.23.728.3286,420,1977,CLASSIC,1,122,517,15,238,21,0,904,517,80,246,432,41,31,43,145,53,897,60,777,51,37,1,True
EUW1_7624741799,15.23.728.3286,420,1366,CLASSIC,0,13,800,99,91,904,1,238,897,904,91,90,68,234,246,498,432,799,131,84,145,555,0,True
EUW1_7624743297,15.23.728.3286,420,1544,CLASSIC,1,246,-1,35,555,904,0,432,893,517,799,21,516,59,84,51,99,887,121,134,523,43,1,True
EUW1_7624751556,15.23.728.3286,420,1563,CLASSIC,0,107,555,246,800,432,1,-1,107,432,246,555,150,77,55,29,497,904,517,134,145,80,0,True
EUW1_7624757594,15.23.728.3286,420,1279,CLASSIC,0,234,800,119,-1,68,1,432,800,122,799,84,904,246,893,18,9,98,104,245,804,117,0,True
EUW1_7624759615,15.23.728.3286,420,1869,CLASSIC,0,28,897,246,107,266,1,91,39,107,238,800,904,126,127,804,526,58,76,777,245,111,0,True
EUW1_7624759980,15.23.728.3286,420,1210,CLASSIC,0,246,83,28,55,432,1,432,-1,238,91,99,17,121,517,22,60,126,5,103,145,497,0,True
EUW1_7624765501,15.23.728.3286,420,1185,CLASSIC,0,893,804,246,-1,122,1,432,91,21,904,246,266,36,134,901,526,39,77,13,145,12,0,True
EUW1_7624768885,15.23.728.3286,420,1686,CLASSIC,0,107,432,-1,246,799,1,84,-1,800,555,432,904,234,517,29,80,98,131,238,67,201,0,True
EUW1_7624770002,15.23.728.3286,420,1846,CLASSIC,1,39,84,432,107,60,0,-1,-1,904,246,432,266,31,777,96,89,897,799,45,21,497,1,True
EUW1_7624775971,15.23.728.3286,420,1181,CLASSIC,0,119,246,517,122,53,1,35,119,-1,27,107,14,54,43,145,518,904,799,800,804,497,0,True
EUW1_7624778969,15.23.728.3286,420,1809,CLASSIC,0,122,55,119,904,91,1,51,203,421,80,166,266,246,61,804,89,68,238,112,21,12,0,True
EUW1_7624782628,15.23.728.3286,420,1373,CLASSIC,0,904,84,432,21,246,1,238,904,13,497,21,516,266,893,145,12,114,76,91,42,60,0,True
EUW1_7624784209,15.23.728.3286,420,1418,CLASSIC,0,-1,904,107,246,799,1,-1,238,800,246,107,77,517,39,51,111,122,76,14,804,201,0,True
EUW1_7624790275,15.23.728.3286,420,2080,CLASSIC,1,39,55,35,67,91,0,246,266,78,43,27,122,31,800,18,117,904,799,3,202,40,1,True
