match_id,game_version,queue_id,game_duration,game_mode,team1_win,team1_ban_1,team1_ban_2,team1_ban_3,team1_ban_4,team1_ban_5,team2_win,team2_ban_1,team2_ban_2,team2_ban_3,team2_ban_4,team2_ban_5,team1_top,team1_jungle,team1_mid,team1_adc,team1_support,team2_top,team2_jungle,team2_mid,team2_adc,team2_support,target,has_complete_positions
KR_7905982503,15.22.724.5161,420,1534,CLASSIC,0,142,42,246,166,68,1,39,119,64,166,107,126,5,800,110,111,34,121,136,81,12,0,True
KR_7906076336,15.22.724.5161,420,1535,CLASSIC,0,64,246,143,555,76,1,29,246,107,24,119,114,91,142,81,267,39,5,136,222,412,0,True
KR_7906174225,15.22.724.5161,420,1626,CLASSIC,0,-1,7,143,166,-1,1,246,555,111,13,83,799,120,157,145,518,58,517,133,22,432,0,True
KR_7906195718,15.22.724.5161,420,1426,CLASSIC,0,246,81,166,8,142,1,64,432,110,24,246,41,245,39,15,53,126,11,61,115,12,0,True
KR_7906257909,15.22.724.5161,420,1752,CLASSIC,1,61,246,30,13,24,0,126,35,166,-1,11,68,64,133,145,555,41,517,163,81,518,1,True
KR_7906336207,15.22.724.5161,420,1360,CLASSIC,0,142,107,24,246,166,1,555,432,114,-1,61,421,59,134,236,201,799,36,777,804,44,0,True
KR_7906408539,15.22.724.5161,420,914,CLASSIC,1,246,119,166,133,107,0,119,246,-1,-1,142,799,517,4,901,12,14,56,893,21,117,1,True
KR_7906752977,15.22.724.5161,420,1327,CLASSIC,1,-1,-1,142,-1,30,0,-1,78,27,119,517,799,246,84,22,44,68,64,61,804,12,1,True
KR_7906778022,15.22.724.5161,420,2031,CLASSIC,0,555,27,107,804,-1,1,421,20,64,7,-1,887,36,163,81,432,68,76,799,145,111,0,True
KR_7906784295,15.22.724.5161,420,1624,CLASSIC,0,119,895,24,246,-1,1,59,-1,64,246,-1,799,104,268,221,40,421,122,61,22,526,0,True
KR_7906809821,15.22.724.5161,420,1806,CLASSIC,1,30,246,27,555,107,0,20,-1,64,55,-1,14,5,134,22,117,58,76,777,81,89,1,True
KR_7906815502,15.22.724.5161,420,1835,CLASSIC,0,107,246,119,126,85,1,24,-1,-1,246,-1,122,5,61,22,497,799,517,268,81,432,0,True
KR_7906850826,15.22.724.5161,420,1183,CLASSIC,1,518,64,27,145,555,0,246,61,-1,119,122,799,91,163,236,201,107,24,777,110,60,1,True
KR_7906869283,15.22.724.5161,420,1803,CLASSIC,0,555,-1,39,246,142,1,555,893,58,119,78,897,30,777,145,89,799,163,80,804,40,0,True
KR_7906889380,15.22.724.5161,420,911,CLASSIC,1,30,61,517,27,-1,0,-1,-1,246,555,518,68,64,112,22,111,126,799,13,110,910,1,True
KR_7906912834,15.22.724.5161,420,1184,CLASSIC,0,122,142,517,78,80,1,246,-1,518,80,76,421,59,84,222,12,799,64,112,22,201,0,True
KR_7906943737,15.22.724.5161,420,1934,CLASSIC,0,7,18,555,64,799,1,78,68,518,142,432,421,427,3,804,89,41,246,61,22,44,0,True
KR_7907005035,15.22.724.5161,420,1619,CLASSIC,1,61,68,518,432,78,0,555,7,246,59,107,58,234,163,22,44,897,122,268,804,117,1,True
KR_7907012611,15.22.724.5161,420,2097,CLASSIC,0,7,555,246,107,80,1,30,11,114,80,61,58,143,799,81,432,897,104,8,145,518,0,True
KR_7907057494,15.22.724.5161,420,1269,CLASSIC,1,-1,432,69,78,142,0,122,246,22,61,518,897,36,13,800,80,58,517,163,804,12,1,True
KR_7907074825,15.22.724.5161,420,1485,CLASSIC,1,246,122,-1,555,64,0,43,27,-1,7,107,897,5,61,15,432,68,121,799,29,60,1,True
KR_7907092640,15.22.724.5161,420,1590,CLASSIC,1,119,246,80,30,13,0,64,51,-1,-1,61,266,107,166,115,89,14,245,126,42,78,1,True
KR_7907103823,15.22.724.5161,420,931,CLASSIC,1,246,27,-1,64,518,0,30,122,142,518,555,421,76,800,22,89,24,104,4,202,78,1,True
